Timeline,Start time,Duration,Row,Instance number, ,25 Build Up,Attack,BS,BS Outcome - Direct Ball Win DUKE,BS Outcome - Direct Ball Win UVA,BS Outcome - Direct turnover DUKE,BS Outcome - Direct turnover UVA,BS Outcome - In Direct Ball Win DUKE,BS Outcome - In Direct Ball Win UVA,BS Outcome - In Direct turnover DUKE,BS Outcome - In Direct turnover UVA,BS Outcome - New BS DUKE,BS Outcome - New BS UVA,Ball Start,Circle Entry,From Zone DUKE,From Zone UVA,Goal Type,Outcome +,Outcome -,Outcome Neutral,Presses,Scouting,Set Piece,Shoot Out,Shoot Out Score,Shoot Outs,Start Type DUKE,Start Type UVA,Start Type UofL,To Zone DUKE,To Zone UVA,To Zone UofL,Ungrouped,Notes,Flags
Duke vs UVA,1659.6437052639997,4.488247221333722,D25 UVA,16,,,,,,,,,,,,,,,BS 1,,,,,,,,,,,,,,,,,,To D25 UVA,,", , Home Game, Q2, DUKE 0 - 1  UVA, DUKE 11v11 UVA, BW1 UVA, Start D25 UVA, BS1 UVA, Regular Season, In Conf",,
Duke vs UVA,1895.4352317349992,9.825363288666495,D25 UVA,17,,,,,,,,,,,,,,,BS 1,,,,,,,,,,,,,,,,,,To D25 UVA,,", , Home Game, Q2, DUKE 1 - 1  UVA, DUKE 11v11 UVA, BW1 UVA, Start D25 UVA, BS1 UVA, Regular Season, In Conf",,
Duke vs UVA,2073.1407245486657,5.235254540666119,D25 UVA,18,,,,,,,,,,,,,,,,,,From DMid UVA,,,,,,,,,,,,,,,To D25 UVA,,", Home Game, Q2, DUKE 1 - 2  UVA, DUKE 11v11 UVA, Start DMid UVA, BS2 UVA, Regular Season, In Conf",,
Duke vs UVA,2109.9294059536664,8.475752052666849,D25 UVA,19,,,,,,,,,TOW A25 DUKE,,,TO D25 UVA,,,BS 1,,,,,,"Turnover, Foul Against",,,,,,,,,,,,To D25 UVA,,", , , , Home Game, Q2, DUKE 1 - 2  UVA, DUKE 11v11 UVA, BW1 UVA, Start D25 UVA, BS1 UVA, Regular Season, In Conf",,
Duke vs UVA,2144.269337657333,10.597958743000163,D25 UVA,20,,,,,,,,,,,,,,NewBS D25 UVA,,,From A25 DUKE,,,,,Sideline,,,,,,,,,,,To D25 UVA,,", , Home Game, DUKE 1 - 2  UVA, Q2, DUKE 11v10 UVA, Start Interception, BW1 UVA, Start D25 UVA, Regular Season, In Conf",,
Duke vs UVA,2153.7621415316657,7.016790181333818,D25 UVA,21,,,,,,,,,,,,,,,BS 1,,,,,,,,,,,,,,,,,,To D25 UVA,,", , Home Game, Q2, DUKE 1 - 2  UVA, DUKE 11v10 UVA, BW1 UVA, Start D25 UVA, BS1 UVA, Regular Season, In Conf",,
Duke vs UVA,2360.687590450667,5.7311406169988,D25 UVA,22,,,,,,,,,,,,,,,BS 1,,,,,,,,,,,,,,,,,,To D25 UVA,,", , Home Game, Q2, DUKE 1 - 2  UVA, DUKE 11v11 UVA, Start D25 UVA, BS1 UVA, Regular Season, In Conf",,
Duke vs UVA,3432.364631971667,10.481737651000003,D25 UVA,23,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,To D25 UVA,,", Home Game, DUKE 1 - 3  UVA, Q3, DUKE 11v11 UVA, Start Interception, BW1 UVA, Start D25 UVA, Regular Season, In Conf",,
Duke vs UVA,3481.907720401333,8.105933726666535,D25 UVA,24,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,To D25 UVA,,", Home Game, Q3, BW1 UVA, DUKE 11v11 UVA, DUKE 1 - 3  UVA, Start D25 UVA, Regular Season, In Conf",,
Duke vs UVA,3537.7202460559984,7.167155993668075,D25 UVA,25,,,,,,,,,TOW A25 DUKE,,,TO D25 UVA,,,BS 1,,,,,,"Turnover, Ball Out",,,,,,,,,,,,To D25 UVA,,", , , , Home Game, Q3, DUKE 1 - 3  UVA, DUKE 11v11 UVA, BW1 UVA, Start D25 UVA, BS1 UVA, Regular Season, In Conf",,
Duke vs UVA,3582.444560610333,9.998551799331835,D25 UVA,26,,,,,,,,,,,,,,,BS 1,,,,,,,,,,,,,,,,,,To D25 UVA,,", , Home Game, Q3, DUKE 1 - 3  UVA, DUKE 11v11 UVA, BW1 UVA, Start D25 UVA, BS1 UVA, Regular Season, In Conf",,
Duke vs UVA,3651.7707910700005,8.60441497599868,D25 UVA,27,,,,,,,,,TOW A25 DUKE,,,TO D25 UVA,,,BS 1,,,,,,"Turnover, Ball Out",,,,,,,,,,,,To D25 UVA,,", , , , Home Game, Q3, DUKE 1 - 3  UVA, DUKE 11v11 UVA, Start D25 UVA, BS1 UVA, Regular Season, In Conf",,
Duke vs UVA,3678.6493597399995,3.735994692332497,D25 UVA,28,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,To D25 UVA,,", DUKE 11v11 UVA, In Conf, Home Game, Q3, Regular Season, DUKE 1 - 3  UVA",,
Duke vs UVA,3695.255156712333,4.312124396333729,D25 UVA,29,,,,,BW A25 DUKE,,,BL D25 UVA,,,,,,,,,From A25 DUKE,,,,"Turnover, Interception",,,,,,,,,,,,To D25 UVA,,", , , Home Game, DUKE 1 - 3  UVA, Q3, DUKE 11v11 UVA, Start Interception, Regular Season, In Conf",,
Duke vs UVA,4135.461024456333,8.338034174000313,D25 UVA,30,,,,,,,,,,,,,,NewBS D25 UVA,BS 1,,,,,,,Sideline,,,,,,,,,,,To D25 UVA,,", , , Home Game, Q3, DUKE 2 - 3  UVA, DUKE 11v10 UVA, BW1 UVA, Start D25 UVA, BS1 UVA, Regular Season, In Conf",,
Duke vs UVA,4814.276333752667,3.4538523213332155,D25 UVA,31,,,,,,,,,,,,,,,,,,From DMid UVA,,,,,,,,,,,,,,,To D25 UVA,,", DUKE 2 - 3  UVA, Start DMid UVA, Q4, BW2 UVA, DUKE 11v11 UVA",,
Duke vs UVA,5125.526575156998,3.7001023130005706,D25 UVA,32,,,,,,,,,,,,,,,,,,From DMid UVA,,,,,,,,,,,,,,,To D25 UVA,,", Home Game, Q4, BW2 UVA, DUKE 2 - 3  UVA, DUKE 11v11 UVA, Start DMid UVA, Regular Season, In Conf",,
Duke vs UVA,5191.001257805001,4.9658431126645155,D25 UVA,33,,,,,,,,,,,,,,,BS 1,,,,,,,,,,,,,,,,,,To D25 UVA,,", , Home Game, Q4, DUKE 2 - 3  UVA, DUKE 11v11 UVA, Start D25 UVA, BS1 UVA, Regular Season, In Conf",,
Duke vs UVA,5195.412845307998,16.793716987999687,D25 UVA,34,,,,,BW A25 DUKE,,,BL D25 UVA,,,,,,,,,,From D25 UVA,,,"Turnover, Interception",,,,,,,,,,,,To D25 UVA,,", , , Home Game, Q4, DUKE 2 - 3  UVA, DUKE 11v11 UVA, Start D25 UVA, BS1 UVA, Regular Season, In Conf",,
Duke vs UVA,5216.925050618999,5.683165386666587,D25 UVA,35,,,,,,,,,,,,,NewBS AMid DUKE,,,,From AMid DUKE,,,,,Free Hit,,,,,,,,,,,To D25 UVA,,", , Home Game, DUKE 2 - 3  UVA, BW3 DUKE, DUKE 11v11 UVA, Q4, Start AMid DUKE, Regular Season, In Conf",,
Duke vs UVA,5221.195954708666,5.296748002666391,D25 UVA,36,,,,,,,,,,,,,,,BS 1,,,,,,,,,,,,,,,,,,To D25 UVA,,", , Home Game, Q4, DUKE 2 - 3  UVA, DUKE 11v11 UVA, Start D25 UVA, BS1 UVA, Regular Season, In Conf",,
Duke vs UVA,5238.084909504999,6.696938796668292,D25 UVA,37,,,,,,,,,,,,,,,BS 1,,,,,,,,,,,,,,,,,,To D25 UVA,,", , Home Game, Q4, DUKE 2 - 3  UVA, DUKE 11v11 UVA, Start D25 UVA, BS1 UVA, Regular Season, In Conf",,
Duke vs UVA,5248.759107904331,13.250716980333891,D25 UVA,38,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,To D25 UVA,,", Home Game, DUKE 2 - 3  UVA, Q4, DUKE 11v11 UVA, Start Interception, BW1 UVA, Start D25 UVA, Regular Season, In Conf",,
Duke vs UVA,5277.762246492,6.859956084333135,D25 UVA,39,,,,,,,,,,,,,,,,,,From DMid UVA,,,,,,,,,,,,,,,To D25 UVA,,", Home Game, Q4, DUKE 2 - 3  UVA, DUKE 11v11 UVA, Start DMid UVA, BS2 UVA, Regular Season, In Conf",,
Duke vs UVA,5448.8137940023325,9.76745558366656,D25 UVA,40,,,,,,,,,,,,,,,,,,From DMid UVA,,,,,,,,,,,,,,,To D25 UVA,,", Home Game, Q4, DUKE 2 - 3  UVA, DUKE 11v11 UVA, Start DMid UVA, BS2 UVA, Regular Season, In Conf",,
Duke vs UVA,5558.776782214332,3.987337549001495,D25 UVA,41,,,,,,,,,TOW A25 DUKE,,,TO D25 UVA,,,,,From A25 DUKE,,,,"Turnover, Ball Out",,,,,,,,,,,,To D25 UVA,,", , , Home Game, DUKE 2 - 3  UVA, Q4, DUKE 11v11 UVA, Start Interception, Regular Season, In Conf",,
Duke vs UVA,5607.561487998,12.267972589666897,D25 UVA,42,,,,,,,,,,,,,,NewBS D25 UVA,BS,,,,,,,Free Hit,,,,,,,,,,,To D25 UVA,,", , , Home Game, DUKE 2 - 3  UVA, Q4, DUKE 11v11 UVA, BW1 UVA, Start D25 UVA, BS1 UVA, Regular Season, In Conf",,
Duke vs UVA,150.45083268033224,4.951628693667118,AMid UVA,1,,,,,BW DMid DUKE,,,BL AMid UVA,,,,,,,,,,,,,"Turnover, Interception",,,,,,,,,,,,To AMid UVA,,", , , , Home Game, DUKE 0 - 0  UVA, Q1, DUKE 11v11 UVA, Start Interception, BW2 UVA, Start DMid UVA, Regular Season, In Conf",,
Duke vs UVA,164.46039933066666,3.9175347246670356,AMid UVA,2,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,Free Hit,,,,,,,,,,,To AMid UVA,,", , , DUKE 11v11 UVA, In Conf, Home Game, Q1, Regular Season, DUKE 0 - 0  UVA",,
Duke vs UVA,167.0452269299989,4.214999127667085,AMid UVA,3,,,,,,,,,,,,,,,BS 3,,,,,,,,,,,,,,,,,,To AMid UVA,,", , Home Game, Q1, DUKE 0 - 0  UVA, DUKE 11v11 UVA, BW3 UVA, Start AMid UVA, BS3 UVA, Regular Season, In Conf",,
Duke vs UVA,280.79429901866587,5.637359850333496,AMid UVA,4,,,,,,,,,,,,,,,,,,From A25 UVA,,,,,,,,,,,,,,,To AMid UVA,,", Home Game, DUKE 0 - 0  UVA, Q1, Start LC UVA, DUKE 11v11 UVA, Start LC UVA, BS4 UVA, Regular Season, In Conf",,
Duke vs UVA,290.7048747096661,7.680339656334127,AMid UVA,5,,,,,,,,,,,,,,,,,,From DMid UVA,,,,,,,,,,,,,,,To AMid UVA,,", Home Game, DUKE 0 - 0  UVA, Q1, Start LC UVA, DUKE 11v11 UVA, Start LC UVA, BS4 UVA, Regular Season, In Conf",,
Duke vs UVA,301.30316177633375,6.53903543999877,AMid UVA,6,,,,,,,,,TOW DMid DUKE,,,TO AMid UVA,,,,,,From A25 UVA,,,"Turnover, Ball Out",,,,,,,,,,,,To AMid UVA,,", , , Home Game, DUKE 0 - 0  UVA, Q1, Start LC UVA, DUKE 11v11 UVA, Start LC UVA, BS4 UVA, Regular Season, In Conf",,
Duke vs UVA,332.04391164433264,4.308741524333868,AMid UVA,7,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,To AMid UVA,,", Home Game, DUKE 0 - 0  UVA, Q1, DUKE 11v11 UVA, Start Interception, Start D25 DUKE, BS1 DUKE, Regular Season, In Conf",,
Duke vs UVA,361.6356512613325,4.970127405000937,AMid UVA,8,,,,,BW DMid DUKE,,,BL AMid UVA,,,,,,,,,,From DMid UVA,,,"Turnover, Interception",,,,,,,,,,,,To AMid UVA,,", , , Home Game, Q1, BW1 UVA, DUKE 0 - 0  UVA, DUKE 11v11 UVA, Start D25 UVA, Regular Season, In Conf",,
Duke vs UVA,462.0168040986665,5.286723218999953,AMid UVA,9,,,,,,,,,,,,,,NewBS DMid UVA,,,,From DMid UVA,,,,Sideline,,,,,,,,,,,To AMid UVA,,", , Home Game, Q1, DUKE 0 - 0  UVA, DUKE 11v11 UVA, Start D25 UVA, BS1 UVA, Regular Season, In Conf",,
Duke vs UVA,470.86228130166677,10.44703749599887,AMid UVA,10,,,,,,,,,,,,,,,BS 3,,,,,,,,,,,,,,,,,,To AMid UVA,,", , Home Game, Q1, DUKE 0 - 0  UVA, DUKE 11v11 UVA, BW3 UVA, Start AMid UVA, BS3 UVA, Regular Season, In Conf",,
Duke vs UVA,504.92175459666623,7.104573656000866,AMid UVA,11,,,,,,,,,,,,,,NewBS AMid UVA,,,,From DMid UVA,,,,Free Hit,,,,,,,,,,,To AMid UVA,,", , Home Game, Q1, DUKE 0 - 0  UVA, DUKE 11v11 UVA, Start DMid UVA, BS2 UVA, Regular Season, In Conf",,
Duke vs UVA,510.69629805166664,4.117997757998978,AMid UVA,12,,,,,,,,,,,,,,,BS 3,,,,,,,,,,,,,,,,,,To AMid UVA,,", , Home Game, Q1, DUKE 0 - 0  UVA, DUKE 11v11 UVA, BW3 UVA, Start AMid UVA, BS3 UVA, Regular Season, In Conf",,
Duke vs UVA,686.8710931639994,4.26297189999957,AMid UVA,13,,,,,BW AMid DUKE,,,BL DMid UVA,,,,,,,,,,From D25 UVA,,,"End Line, Turnover",,,,,,,,,,,,To AMid UVA,,", , , Home Game, Q1, DUKE 0 - 0  UVA, DUKE 11v11 UVA, Start D25 UVA, BS1 UVA, Regular Season, In Conf",,
Duke vs UVA,711.0865043349999,4.352486408999994,AMid UVA,14,,,,,,,,,TOW AMid DUKE,,,TO DMid UVA,,,,,,From DMid UVA,,,"Turnover, Foul Against",,,,,,,,,,,,To AMid UVA,,", , , Home Game, Q1, DUKE 0 - 0  UVA, DUKE 11v11 UVA, Start DMid UVA, BS2 UVA, Regular Season, In Conf",,
Duke vs UVA,744.9923396369996,9.009250501999531,AMid UVA,15,,,,,,,,,,,,,,,BS 3,,,,,,,,,,,,,,,,,,To AMid UVA,,", , Home Game, Q1, DUKE 0 - 0  UVA, DUKE 11v11 UVA, BW3 UVA, Start AMid UVA, BS3 UVA, Regular Season, In Conf",,
Duke vs UVA,778.843452433,3.040526351999233,AMid UVA,16,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,To AMid UVA,,", DUKE 11v11 UVA, In Conf, Home Game, Q1, Regular Season, DUKE 0 - 0  UVA",,
Duke vs UVA,799.4960587299993,13.92481501300108,AMid UVA,17,,,,,,,,,,,,,,NewBS AMid UVA,,,,From A25 UVA,,,,Long Corner,,,,,,,,,,,To AMid UVA,,", , Home Game, DUKE 0 - 0  UVA, Q1, Start LC UVA, DUKE 11v11 UVA, Start LC UVA, BS4 UVA, Regular Season, In Conf",,
Duke vs UVA,847.3545159676661,4.665465386000051,AMid UVA,18,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,To AMid UVA,,", DUKE 11v11 UVA, In Conf, Home Game, Q1, Regular Season, DUKE 0 - 0  UVA",,
Duke vs UVA,881.4934745776667,8.030642533999753,AMid UVA,19,,,,,,,,,,,,,,,BS 3,,,,,,,,,,,,,,,,,,To AMid UVA,,", , Home Game, Q1, DUKE 0 - 0  UVA, DUKE 11v11 UVA, BW3 UVA, Start AMid UVA, BS3 UVA, Regular Season, In Conf",,
Duke vs UVA,890.0093104626669,14.834258525998848,AMid UVA,20,,,,,,,,,,,,,,,,,,From AMid UVA,,,,,,,,,,,,,,,To AMid UVA,,", Home Game, Q1, DUKE 0 - 0  UVA, DUKE 11v11 UVA, Start AMid UVA, BS3 UVA, Regular Season, In Conf",,
Duke vs UVA,937.4139807866661,4.494948466000324,AMid UVA,21,,,,,,,,,,,,,,,BS,,,,,,,,,,,,,,,,,,To AMid UVA,,", , Q1, DUKE 0 - 0  UVA, Home Game, In Conf, Regular Season, DUKE 11v11 UVA",,
Duke vs UVA,954.7342410846663,3.5270946879996927,AMid UVA,22,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,To AMid UVA,,", Home Game, DUKE 0 - 0  UVA, Q1, DUKE 11v11 UVA, Start Interception, Regular Season, In Conf",,
Duke vs UVA,990.8415020353333,4.52025763066581,AMid UVA,23,,,,,BW DMid DUKE,,,BL AMid UVA,,,,,,,,,From DMid DUKE,,,,"Turnover, Duel Lost",,,,,,,,,,,,To AMid UVA,,", , , Home Game, Q1, DUKE 0 - 0  UVA, DUKE 11v11 UVA, BW3 UVA, Start AMid UVA, Regular Season, In Conf",,
Duke vs UVA,1127.4692124826668,5.35840935833312,AMid UVA,24,,,,,,,,,,,,,,,,,,From A25 UVA,,,,,,,,,,,,,,,To AMid UVA,,", Home Game, Q1, DUKE 0 - 0  UVA, DUKE 11v11 UVA, Start A25 UVA, BS4 UVA, Regular Season, In Conf",,
Duke vs UVA,1154.7110178130001,4.409610673998941,AMid UVA,25,,,,,,,,,,,,,,,,,,From A25 UVA,,,,,,,,,,,,,,,To AMid UVA,,", Home Game, Q1, BW4 UVA, DUKE 0 - 0  UVA, DUKE 11v11 UVA, Start A25 UVA, Regular Season, In Conf",,
Duke vs UVA,1414.5274419410002,3.1618569659988225,AMid UVA,26,,,,,,,,,,,,,,,,,,From DMid UVA,,,,,,,,,,,,,,,To AMid UVA,,", In Conf, Regular Season, Home Game",,
Duke vs UVA,1470.3066711583333,6.023135867000519,AMid UVA,27,,,,,,,,,,,,,,NewBS AMid UVA,,,,From DMid UVA,,,,Free Hit,,,,,,,,,,,To AMid UVA,,", , Home Game, Q2, DUKE 0 - 1  UVA, DUKE 11v11 UVA, Start DMid UVA, BS2 UVA, Regular Season, In Conf",,
Duke vs UVA,1475.0746386293333,4.326780964999671,AMid UVA,28,,,,,,,,,,,,,,,BS 3,,,,,,,,,,,,,,,,,,To AMid UVA,,", , Home Game, Q2, DUKE 0 - 1  UVA, DUKE 11v11 UVA, BW3 UVA, Start AMid UVA, BS3 UVA, Regular Season, In Conf",,
Duke vs UVA,1495.2680738753334,3.453273166999452,AMid UVA,29,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,To AMid UVA,,", DUKE 11v11 UVA, In Conf, Home Game, Q2, Regular Season, DUKE 0 - 1  UVA",,
Duke vs UVA,1502.5651454273325,7.37874333300033,AMid UVA,30,,,,,,,,,,,,,,NewBS AMid UVA,,,,From DMid UVA,,,,Free Hit,,,,,,,,,,,To AMid UVA,,", , Home Game, Q2, BW3 UVA, DUKE 0 - 1  UVA, DUKE 11v11 UVA, Start AMid UVA, Regular Season, In Conf",,
Duke vs UVA,1513.0900884463333,7.450220329000331,AMid UVA,31,,,,,,,,,,,,,,NewBS AMid UVA,BS 3,,,,,,,Sideline,,,,,,,,,,,To AMid UVA,,", , , Home Game, Q2, DUKE 0 - 1  UVA, DUKE 11v11 UVA, BW3 UVA, Start AMid UVA, BS3 UVA, Regular Season, In Conf",,
Duke vs UVA,1570.581202417333,4.242915846667074,AMid UVA,32,,,,,,,,,,,,,,,,,,From D25 UVA,,,,,,,,,,,,,,,To AMid UVA,,", Home Game, Q2, DUKE 0 - 1  UVA, DUKE 11v11 UVA, Start D25 UVA, BS1 UVA, Regular Season, In Conf",,
Duke vs UVA,1574.1416877773331,10.27153650166656,AMid UVA,33,,,,,,,,,,,,,,NewBS AMid UVA,,,,From AMid UVA,,,,Free Hit,,,,,,,,,,,To AMid UVA,,", , Home Game, Q2, DUKE 0 - 1  UVA, DUKE 11v11 UVA, Start D25 UVA, BS1 UVA, Regular Season, In Conf",,
Duke vs UVA,1588.3360123589996,7.080843671332559,AMid UVA,34,,,,,,,,,,,,,,,BS 3,,,,,,,,,,,,,,,,,,To AMid UVA,,", , Home Game, Q2, DUKE 0 - 1  UVA, DUKE 11v11 UVA, BW3 UVA, Start AMid UVA, BS3 UVA, Regular Season, In Conf",,
Duke vs UVA,1663.4209644386658,3.797111595333263,AMid UVA,35,,,,,,,,,,,,,,,,,,From D25 UVA,,,,,,,,,,,,,,,To AMid UVA,,", Home Game, Q2, DUKE 0 - 1  UVA, DUKE 11v11 UVA, Start D25 UVA, BS1 UVA, Regular Season, In Conf",,
Duke vs UVA,1907.4185670273332,5.450673835666066,AMid UVA,36,,,,,,,,,,,,,,,,,,From DMid UVA,,,,,,,,,,,,,,,To AMid UVA,,", Home Game, Q2, DUKE 1 - 1  UVA, DUKE 11v11 UVA, Start D25 UVA, BS1 UVA, Regular Season, In Conf",,
Duke vs UVA,2166.536255283667,4.116669844666831,AMid UVA,37,,,,,,,,,,,,,,,,,,From DMid UVA,,,,,,,,,,,,,,,To AMid UVA,,", Home Game, Q2, DUKE 1 - 2  UVA, DUKE 11v10 UVA, Start DMid UVA, BS2 UVA, Regular Season, In Conf",,
Duke vs UVA,2183.6634769963325,9.606354607666617,AMid UVA,38,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,To AMid UVA,,", Home Game, DUKE 1 - 2  UVA, Q2, DUKE 11v10 UVA, BW3 UVA, Start D25 DUKE, BS1 DUKE, Regular Season, In Conf",,
Duke vs UVA,2211.492799096666,6.183577072999924,AMid UVA,39,,,,,,,,,,,,,,,,,,From A25 UVA,,,,,,,,,,,,,,,To AMid UVA,,", Home Game, DUKE 1 - 2  UVA, Q2, Start LC UVA, DUKE 11v10 UVA, Start LC UVA, BS4 UVA, Regular Season, In Conf",,
Duke vs UVA,2411.7052631086663,4.3957011490001605,AMid UVA,40,,,,,,,,,,,,,,,BS,,,,,,,,,,,,,,,,,,To AMid UVA,,", , Q2, DUKE 1 - 2  UVA, Home Game, In Conf, Regular Season, DUKE 11v11 UVA",,
Duke vs UVA,2426.7421782399992,8.042635906000669,AMid UVA,41,,,,,,,,,,,,,,,,,,From DMid UVA,,,,,,,,,,,,,,,To AMid UVA,,", Home Game, Q2, DUKE 1 - 2  UVA, DUKE 11v11 UVA, Start AMid UVA, BS3 UVA, Regular Season, In Conf",,
Duke vs UVA,2442.0480082376657,5.4653136756664935,AMid UVA,42,,,,,,,,,,,,,,,,,,From A25 UVA,,,,,,,,,,,,,,,To AMid UVA,,", Home Game, Q2, DUKE 1 - 2  UVA, DUKE 11v11 UVA, Start A25 UVA, BS4 UVA, Regular Season, In Conf",,
Duke vs UVA,2448.001003572333,5.7587537236659045,AMid UVA,43,,,,,,,,,,,,,,,,,,From DMid UVA,,,,,,,,,,,,,,,To AMid UVA,,", Home Game, Q2, DUKE 1 - 2  UVA, DUKE 11v11 UVA, Start A25 UVA, BS4 UVA, Regular Season, In Conf",,
Duke vs UVA,2453.1854897756657,3.4293458086676765,AMid UVA,44,,,,,,,,,,,,,,,,,,From AMid UVA,,,,,,,,,,,,,,,To AMid UVA,,", Home Game, Q2, DUKE 1 - 2  UVA, DUKE 11v11 UVA, Start A25 UVA, BS4 UVA, Regular Season, In Conf",,
Duke vs UVA,2469.0790877036657,5.879007642000943,AMid UVA,45,,,,,BW DMid DUKE,,,BL AMid UVA,,,,,,,,,From D25 DUKE,,,,"End Line, Turnover",,,,,,,,,,,,To AMid UVA,,", , , Home Game, DUKE 1 - 2  UVA, BW1 DUKE, DUKE 11v11 UVA, Q2, Start Interception, Start D25 DUKE, Regular Season, In Conf",,
Duke vs UVA,2497.091081814999,11.012204961001316,AMid UVA,46,,,,,,,,,,,,,,NewBS AMid UVA,,,From D25 DUKE,,,,,Free Hit,,,,,,,,,,,To AMid UVA,,", , Home Game, DUKE 1 - 2  UVA, Q2, DUKE 11v11 UVA, Start Interception, BW3 UVA, Start AMid UVA, Regular Season, In Conf",,
Duke vs UVA,2507.419095504666,6.785242681332875,AMid UVA,47,,,,,,,,,,,,,,,BS 3,,,From AMid UVA,,,,,,,,,,,,,,,To AMid UVA,,", Home Game, Q2, BW3 UVA, DUKE 1 - 2  UVA, DUKE 11v11 UVA, Start AMid UVA, BS3 UVA, Regular Season, In Conf",,
Duke vs UVA,2596.9073208369996,4.343089804333886,AMid UVA,48,,,,,,,,,,,,,,,BS 3,,,,,,,,,,,,,,,,,,To AMid UVA,,", , Home Game, Q2, DUKE 1 - 2  UVA, DUKE 11v11 UVA, BW3 UVA, Start AMid UVA, BS3 UVA, Regular Season, In Conf",,
Duke vs UVA,2602.6182053069992,4.233136682333679,AMid UVA,49,,,,,,,,,,,,,,,,,,From DMid UVA,,,,,,,,,,,,,,,To AMid UVA,,", Home Game, Q2, DUKE 1 - 2  UVA, DUKE 11v11 UVA, Start AMid UVA, BS3 UVA, Regular Season, In Conf",,
Duke vs UVA,2608.084970546666,4.367796227333656,AMid UVA,50,,,,,,,,,,,,,,,,,,From AMid UVA,,,,,,,,,,,,,,,To AMid UVA,,", Home Game, Q2, DUKE 1 - 2  UVA, DUKE 11v11 UVA, Start AMid UVA, BS3 UVA, Regular Season, In Conf",,
Duke vs UVA,3362.8861702866666,3.8556756610005323,AMid UVA,51,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,To AMid UVA,,", Home Game, DUKE 1 - 3  UVA, Q3, DUKE 11v11 UVA, Start Interception, Regular Season, In Conf",,
Duke vs UVA,3592.076120406666,8.601019790999999,AMid UVA,52,,,,,,,,,TOW DMid DUKE,,,TO AMid UVA,,,,,,From D25 UVA,,,"Turnover, Foul Against",,,,,,,,,,,,To AMid UVA,,", , , Home Game, Q3, DUKE 1 - 3  UVA, DUKE 11v11 UVA, Start D25 UVA, BS1 UVA, Regular Season, In Conf",,
Duke vs UVA,3606.601142440667,3.5934431989990117,AMid UVA,53,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,To AMid UVA,,", Home Game, DUKE 1 - 3  UVA, Q3, DUKE 11v11 UVA, Start Interception, Regular Season, In Conf",,
Duke vs UVA,3935.849884439665,5.908084520000102,AMid UVA,54,,,,,,,,,,,,,,,,,,From DMid UVA,,,,,,,,,,,,,,,To AMid UVA,,", Home Game, Q3, DUKE 2 - 3  UVA, DUKE 11v11 UVA, Start DMid UVA, BS2 UVA, Regular Season, In Conf",,
Duke vs UVA,3942.7902851926656,4.3632275140003,AMid UVA,55,,,,,,,,,,,,,,,,,,From DMid UVA,,,,,,,,,,,,,,,To AMid UVA,,", Home Game, Q3, DUKE 2 - 3  UVA, DUKE 11v11 UVA, Start DMid UVA, BS2 UVA, Regular Season, In Conf",,
Duke vs UVA,3953.187925240667,11.697832494000068,AMid UVA,56,,,,,,,,,,,,,,,,,,From A25 UVA,,,,,,,,,,,,,,,To AMid UVA,,", Home Game, Q3, DUKE 2 - 3  UVA, DUKE 11v11 UVA, Start A25 UVA, BS4 UVA, Regular Season, In Conf",,
Duke vs UVA,4022.1652725089994,3.9917286006657378,AMid UVA,57,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,To AMid UVA,,", Home Game, DUKE 2 - 3  UVA, Q3, DUKE 11v11 UVA, Start Interception, Regular Season, In Conf",,
Duke vs UVA,4057.699368727,3.5809069576666843,AMid UVA,58,,,,,,,,,,,,,,,,,,From A25 UVA,,,,,,,,,,,,,,,To AMid UVA,,", Home Game, DUKE 2 - 3  UVA, Q3, Start LC UVA, DUKE 11v10 UVA, Start LC UVA, BS4 UVA, Regular Season, In Conf",,
Duke vs UVA,4116.730051276665,9.004107992666832,AMid UVA,59,,,,,BW DMid DUKE,,,BL AMid UVA,,,,,,,,,,From DMid UVA,,,"Turnover, Duel Lost",,,,,,,,,,,,To AMid UVA,,", , , Home Game, Q3, BW2 UVA, DUKE 2 - 3  UVA, DUKE 11v10 UVA, Start DMid UVA, Regular Season, In Conf",,
